strain	rep	gen	batch	r	k	n0	auc	sigma
L	3	1046	4	1.41242	0.29824	2.9323e-08	1.96473	0.01237
L	4	1046	4	1.27170	0.34498	8.8707e-08	2.08651	0.00990
L	5	1046	4	1.41669	0.30247	3.6436e-08	2.04193	0.01054
L	6	1046	4	1.31794	0.33023	5.4778e-08	2.02929	0.01072
L	7	1046	4	1.46353	0.28653	8.2074e-09	1.74425	0.00970
L	8	1046	4	1.14652	0.29457	3.4629e-07	1.80258	0.01146
X	1	1046	4	1.41917	0.34255	4.5923e-08	2.33548	0.01037
X	2	1046	4	1.64961	0.35963	3.2532e-09	2.45146	0.02174
X	3	1046	4	1.65377	0.35512	1.2315e-08	2.69510	0.01251
X	4	1046	4	1.61154	0.29771	3.5948e-09	1.98153	0.01265
X	5	1046	4	2.02528	0.37837	1.7184e-11	2.37626	0.02995
X	6	1046	4	1.88850	0.36253	2.4310e-10	2.48552	0.02949
X	7	1046	4	1.13701	0.28681	8.0524e-07	1.94474	0.01587
X	8	1046	4	1.63034	0.30730	1.7085e-08	2.37943	0.03018
k	2	1046	4	0.76325	0.34575	3.2187e-06	1.01301	0.00690
k	2	1046	4	0.89621	0.32003	7.8210e-07	1.14514	0.00707
k	2	1046	4	0.87026	0.32132	9.9893e-07	1.11171	0.00729
S	0	0	5	1.27882	0.30583	3.0483e-08	1.67023	0.00982
S	0	0	5	1.25841	0.31846	2.6722e-08	1.65334	0.01213
S	0	0	5	1.31383	0.30110	1.8360e-08	1.62857	0.01060
M	0	0	5	1.31419	0.29803	1.3851e-08	1.56138	0.01083
M	0	0	5	1.31057	0.30482	2.1494e-08	1.68454	0.01064
M	0	0	5	1.26063	0.31630	3.9215e-08	1.73841	0.01176
L	0	0	5	0.98376	0.31326	2.3206e-07	1.16326	0.00874
L	0	0	5	0.96620	0.30899	2.7798e-07	1.13495	0.00917
L	0	0	5	1.00128	0.30098	2.2148e-07	1.21284	0.00933
X	0	0	5	0.97753	0.33162	2.6518e-06	2.00725	0.01647
X	0	0	5	1.16197	0.34873	1.7849e-07	1.96895	0.01680
X	0	0	5	1.08114	0.35251	5.7986e-07	2.02781	0.01550
S	1	1511	5	1.38950	0.30230	1.5632e-08	1.80489	0.00919
S	2	1511	5	1.24528	0.31692	4.7974e-07	2.28141	0.00891
S	3	1511	5	1.32135	0.32585	4.6690e-08	1.99590	0.01016
S	4	1511	5	0.94882	0.24739	3.8131e-07	0.98442	0.00734
S	5	1511	5	1.32574	0.30750	3.4116e-08	1.85467	0.01152
S	6	1511	5	1.31857	0.30173	3.3330e-08	1.78882	0.01026
S	7	1511	5	1.36739	0.32836	3.1173e-08	2.05047	0.01033
S	8	1511	5	1.28688	0.30363	3.5109e-08	1.71629	0.01015
M	1	1511	5	1.16813	0.32349	4.6590e-07	2.09222	0.01274
M	2	1511	5	1.39905	0.27518	2.0462e-08	1.73811	0.00975
