strain	rep	gen	batch	r	k	n0	auc	sigma
L	0	0	17	1.26974	0.32256	2.4562e-08	1.69728	0.00938
L	0	0	17	1.21095	0.32008	6.5254e-08	1.75633	0.00955
X	0	0	17	1.35294	0.31593	6.8706e-08	2.16110	0.01289
X	0	0	17	1.38248	0.31198	4.1974e-08	2.10817	0.01404
X	0	0	17	1.29044	0.32587	9.9705e-08	2.14189	0.01255
S	1	1046	17	1.45785	0.32122	1.6390e-08	2.13978	0.00941
S	2	1046	17	1.15481	0.31177	2.0382e-06	2.41666	0.01407
S	3	1046	17	1.24897	0.34548	3.0011e-07	2.40430	0.01195
S	4	1046	17	1.39297	0.30615	5.2920e-08	2.13460	0.00877
S	5	1046	17	1.27954	0.31346	2.1428e-07	2.21082	0.01125
S	6	1046	17	1.56660	0.32147	9.6752e-09	2.29911	0.01393
S	7	1046	17	1.28958	0.34053	1.4956e-07	2.32048	0.01223
S	8	1046	17	1.39114	0.32940	4.6851e-08	2.25966	0.01022
M	1	1046	17	2.24609	0.31738	9.2841e-11	2.64690	0.01185
M	2	1046	17	1.33580	0.31862	1.9609e-07	2.37427	0.00920
M	3	1046	17	1.51399	0.32210	8.2305e-08	2.59535	0.01308
M	4	1046	17	1.59546	0.34101	1.7554e-08	2.59306	0.01288
M	5	1046	17	1.57898	0.29430	3.1760e-08	2.34863	0.00892
M	6	1046	17	1.47460	0.29969	1.7378e-08	2.05812	0.00925
M	7	1046	17	1.30833	0.31627	2.2364e-07	2.32054	0.01102
M	8	1046	17	1.34653	0.32851	1.4520e-07	2.39025	0.00960
L	1	1046	17	2.75967	0.33641	9.3397e-13	2.88402	0.03934
L	2	1046	17	1.45401	0.33688	4.8016e-08	2.46897	0.01051
L	3	1046	17	2.12250	0.30625	3.6669e-10	2.60590	0.01599
L	4	1046	17	1.33198	0.32219	2.1058e-07	2.40858	0.01282
L	5	1046	17	1.47389	0.33067	5.8810e-08	2.51823	0.01109
L	6	1046	17	1.41640	0.31623	6.9264e-08	2.31089	0.01053
L	7	1046	17	1.32386	0.28237	3.4685e-07	2.21746	0.00944
L	8	1046	17	2.44946	0.32092	7.6101e-12	2.63669	0.02241
X	1	1046	17	3.02063	0.30370	7.1757e-14	2.61379	0.04110
X	2	1046	17	1.49118	0.33203	1.8792e-09	1.84328	0.01434
X	3	1046	17	2.72632	0.27394	1.4498e-12	2.39217	0.02950
X	4	1046	17	2.01771	0.27995	5.0784e-10	2.30152	0.01551
X	5	1046	17	2.52942	0.34104	1.5935e-12	2.71355	0.04954
X	6	1046	17	2.03617	0.34395	2.6232e-10	2.70721	0.04719
X	7	1046	17	2.26057	0.27208	2.4393e-11	2.18088	0.02105
X	8	1046	17	2.13360	0.30908	7.1508e-10	2.73562	0.03781
k	2	1046	17	1.22048	0.29997	1.4934e-08	1.31174	0.00848
k	2	1046	17	1.23585	0.29447	2.1506e-08	1.43274	0.00850
k	2	1046	17	1.22719	0.29669	2.1731e-08	1.42472	0.00822
S	0	0	18	1.42356	0.33671	6.9499e-09	1.92030	0.00913
S	0	0	18	1.44395	0.34058	7.5147e-09	2.03407	0.01007
S	0	0	18	1.39152	0.32064	1.7841e-08	1.96477	0.00788
M	0	0	18	1.35280	0.32944	2.5915e-08	2.00137	0.00946
M	0	0	18	1.33774	0.31624	3.8006e-08	1.96983	0.00825
M	0	0	18	1.40233	0.34495	9.8141e-09	1.99935	0.01080
L	0	0	18	1.24960	0.34216	2.1349e-08	1.68267	0.01141
L	0	0	18	1.24300	0.33432	2.2122e-08	1.62076	0.00980
L	0	0	18	1.20493	0.32298	4.2222e-08	1.62447	0.00927
X	0	0	18	1.17732	0.34889	1.7294e-07	2.03427	0.01155
X	0	0	18	1.29502	0.31665	8.3506e-08	2.05482	0.01176
X	0	0	18	1.38708	0.30953	4.4192e-08	2.09385	0.01047
S	1	465	18	1.42279	0.32416	1.4622e-08	2.02830	0.00860
S	2	465	18	1.34062	0.32525	5.2502e-08	2.11383	0.00933
S	3	465	18	1.38302	0.35120	1.5253e-08	2.06772	0.01077
S	4	465	18	1.40228	0.33287	1.1606e-08	1.95835	0.00935
S	5	465	18	1.36393	0.32353	2.7212e-08	2.00417	0.00837
S	6	465	18	1.36292	0.33192	1.6811e-08	1.94385	0.00945
S	7	465	18	1.39116	0.34580	1.3349e-08	2.04553	0.01082
S	8	465	18	1.47954	0.33173	7.2208e-09	2.06577	0.00904
M	1	465	18	1.36166	0.32613	3.6599e-08	2.09576	0.00890
M	2	465	18	1.34050	0.32600	4.7106e-08	2.08904	0.00829
M	3	465	18	1.37737	0.32822	2.2670e-08	2.02214	0.00816
M	4	465	18	1.37170	0.32742	2.3212e-08	2.00989	0.00785
M	5	465	18	1.48343	0.33492	6.6943e-09	2.07140	0.00909
M	6	465	18	1.41319	0.32371	1.7386e-08	2.03316	0.00801
M	7	465	18	1.38660	0.33881	2.0896e-08	2.09762	0.00935
M	8	465	18	1.46361	0.34527	7.2137e-09	2.09043	0.00990
L	1	465	18	1.44277	0.32824	1.2005e-08	2.06603	0.00865
L	2	465	18	1.48326	0.34214	1.1120e-08	2.23372	0.01062
L	3	465	18	1.38299	0.32223	3.1018e-08	2.08478	0.00868
L	4	465	18	1.47813	0.35212	5.4625e-09	2.11887	0.01127
L	5	465	18	1.37611	0.32915	2.9604e-08	2.10011	0.00880
L	6	465	18	1.43171	0.33992	1.7068e-08	2.18494	0.01086
L	7	465	18	1.34645	0.33207	4.4193e-08	2.12439	0.00908
L	8	465	18	1.37185	0.33027	2.0968e-08	2.00362	0.01006
X	1	465	18	1.19843	0.31502	9.6997e-07	2.34726	0.01329
X	2	465	18	1.95577	0.30004	7.6670e-11	2.08685	0.01610
X	3	465	18	1.31021	0.35524	1.0736e-07	2.37016	0.01126
X	4	465	18	1.56962	0.30491	1.0400e-08	2.18707	0.01132
X	5	465	18	2.63266	0.31159	1.3312e-13	2.30735	0.02586
X	6	465	18	2.71653	0.31489	2.3409e-13	2.50595	0.02898
X	7	465	18	1.83256	0.28286	5.7590e-10	2.05633	0.01527
X	8	465	18	2.79354	0.38159	4.5815e-14	2.89381	0.04411
k	2	465	18	1.12165	0.31347	3.3269e-08	1.19185	0.00792
k	2	465	18	1.19764	0.29733	2.6184e-08	1.36347	0.00816
k	2	465	18	1.18014	0.30228	2.8503e-08	1.35141	0.00853
